# File containing a listing of the fitness of the top-ranked
# individual for each ligand docked in GOLD.
#
# Format is:
#
#     Score     S(PLP)   S(hbond)     S(cho)   S(metal)  DE(clash)   DE(tors)     intcor     time                               File name                Ligand name

     54.30     -43.82       4.95       0.00       0.00       0.00       2.55       0.73   16.280         './gold_soln_AV-procd_m128_7.sdf'    'AV-unprocessed.smi:21'
     59.22     -48.57       4.50       0.00       0.00       0.00       1.91       0.95   16.399        './gold_soln_AV-procd_m129_10.sdf'    'AV-unprocessed.smi:21'
     54.61     -48.02       3.75       0.00       0.00       0.00       2.68       0.69   11.049         './gold_soln_AV-procd_m130_4.sdf'    'AV-unprocessed.smi:21'
     51.91     -40.96       3.00       1.00       0.00       0.00       1.07       0.80   15.928         './gold_soln_AV-procd_m131_2.sdf'    'AV-unprocessed.smi:21'
     51.68     -39.70       3.82       1.00       0.00       0.00       1.64       0.82   16.415         './gold_soln_AV-procd_m132_8.sdf'    'AV-unprocessed.smi:21'
     53.72     -42.88       2.98       1.00       0.00       0.00       1.13       0.70   16.371         './gold_soln_AV-procd_m133_1.sdf'    'AV-unprocessed.smi:21'
     57.29     -46.07       4.51       0.00       0.00       0.00       1.46       0.43   15.807         './gold_soln_AV-procd_m134_4.sdf'    'AV-unprocessed.smi:21'
     51.50     -39.71       4.00       0.00       0.00       0.00       0.32       0.43   16.155         './gold_soln_AV-procd_m135_3.sdf'    'AV-unprocessed.smi:21'
     54.09     -47.03       2.00       1.00       0.00       0.00       1.52       0.66   16.172         './gold_soln_AV-procd_m136_1.sdf'    'AV-unprocessed.smi:21'
     52.79     -43.78       3.96       0.00       0.00       0.00       1.64       0.43   16.250        './gold_soln_AV-procd_m137_10.sdf'    'AV-unprocessed.smi:21'
     50.83     -38.21       3.93       1.27       0.00       0.00       1.74       0.51   16.448         './gold_soln_AV-procd_m138_7.sdf'    'AV-unprocessed.smi:21'
     53.42     -44.03       2.98       1.00       0.00       0.00       1.55       0.54   16.070         './gold_soln_AV-procd_m139_9.sdf'    'AV-unprocessed.smi:21'
